de;ru;pt;ko;zhs;zht;en;it;fr;es;ja
Elf;Эльф;Elfo;엘프;地精;妖精;Elf;Elfo;Elfe;Elfo;エルフ
Schatz;Клад;Tesouro;보물;珍宝;珍寶;Treasure;Tesoro;Trésor;Tesoro;宝物
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Sand;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Hirsch;Вапити;Alce;엘크;麋鹿;麋鹿;Elk;Alce;Élan;Alce;大鹿
Goblin;Гоблин;Goblin;고블린;精灵;鬼怪;Goblin;Goblin;Gobelin;Trasgo;ゴブリン
Basilisk;Василиск;Basilisco;바실리스크;蜥怪;蜥怪;Basilisk;Basilisco;Basilic;Basilisco;バジリスク
Fahrzeug;Машина;Veículo;탑승물;载具;載具;Vehicle;Veicolo;Véhicule;Vehículo;機体
Zobel;Соболь;Zibelina;담비;紫貂;紫貂;Sable;Zibellino;Zibeline;Marta;黒貂
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Powerstone;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;Тифлинг;Tiferino;티플링;UNKNOWN;魔人;Tiefling;UNKNOWN;Tieffelin;UNKNOWN;ティーフリング
Ritter;Рыцарь;Cavaleiro;기사;骑士;騎士;Knight;Cavaliere;Chevalier;Caballero;騎士
Ashiok;Ашиок;Ashiok;아시오크;安梭苛;安梭苛;Ashiok;Ashiok;Ashiok;Ashiok;アショク
Mondvolk;Лунный;Cidadão-da-lua;월인;UNKNOWN;月人;Moonfolk;Lunantropo;Lunaréen;Pueblo-lunar;ムーンフォーク
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Gold;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Schildkröte;Черепаха;Tartaruga;거북이;龟;龜;Turtle;Tartaruga;Tortue;Tortuga;海亀
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Luvion;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Gorgo;Горгона;Górgona;고르곤;蛇发妖;蛇髮妖;Gorgon;Gorgone;Gorgonoïde;Gorgona;ゴルゴン
Fuchs;Лиса;Raposa;여우;狐;狐;Fox;Volpe;Renard;Zorro;狐
Teufelsbraten;Геллион;Avernal;헬리온;地狱兽;地獄獸;Hellion;Infernale;Monstruosité;Infernal;ヘリオン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Pyrulea;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Elefant;Слон;Elefante;코끼리;象;象;Elephant;Elefante;Éléphant;Elefante;象
Mutant;Мутант;Mutante;돌연변이;突变体;突變體;Mutant;Mutante;Mutant;Mutante;ミュータント
Kartusche;Картуш;Cártula;카르투슈;UNKNOWN;魔符;Cartouche;Cartiglio;UNKNOWN;Cartucho;カルトーシュ
Assassine;Убийца;Assassino;암살자;杀手;殺手;Assassin;UNKNOWN;UNKNOWN;Asesino;暗殺者
Vogel;Птица;Ave;조류;鸟;鳥;Bird;Uccello;Oiseau;Ave;鳥（とり）
Tor;Врата;Portão;관문;门;門;Gate;Cancello;Porte;Portal;門
Lamia;Ламия;Lâmia;라미아;拉弥亚;拉彌亞;Lamia;Lamia;Lamie;Lamia;ラミア
Meervolk;Мерфолк;Tritão;인어;人鱼;人魚;Merfolk;Tritone;Ondin;Tritón;マーフォーク
Dakkon;Даккон;Dakkon;다콘;达肯;達肯;Dakkon;Dakkon;Dakkon;Dakkon;ダッコン
Krabbe;Краб;Caranguejo;게;蟹;蟹;Crab;Granchio;Crabe;Cangrejo;カニ
Lhurgoyf;Люргойф;Lhurgoyf;루고이프;拉高耶夫;拉高耶夫;Lhurgoyf;Lhurgoyf;Lhurgoyf;Lhurgoyf;ルアゴイフ
Vraska;Враска;Vraska;브라스카;瓦丝卡;瓦絲卡;Vraska;Vraska;Vraska;Vraska;ヴラスカ
Wildfeuer;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Wildfire;UNKNOWN;Grégefeu;UNKNOWN;ワイルドファイア
Aminatou;UNKNOWN;Aminatou;UNKNOWN;阿米娜图;UNKNOWN;Aminatou;Aminatou;Aminatou;Aminatou;アミナトゥ
Skelett;Скелет;Esqueleto;해골;骷髅妖;骷髏妖;Skeleton;Scheletro;Squelette;Esqueleto;スケルトン
Noggele;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Noggle;UNKNOWN;Neugle;UNKNOWN;ノッグル
Lukka;Лукка;Lukka;루카;卢卡;盧卡;Lukka;Lukka;Lukka;Lukka;ルーカ
Szat;UNKNOWN;Szat;UNKNOWN;刹特;剎特;Szat;Szat;Szat;Szat;ザット
Valla;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Valla;Valla;Valla;Valla;ヴァラ
Abenteuer;Приключение;Aventura;모험;历险;歷險;Adventure;Avventura;Aventure;Aventura;出来事
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Soltari;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Tezzeret;Теззерет;Tezzeret;테제렛;泰兹瑞;泰茲瑞;Tezzeret;Tezzeret;Tezzeret;Tezzeret;テゼレット
Schrecken;Ужас;Horror;호러;惊惧兽;驚懼獸;Horror;Orrore;Horreur;Horror;ホラー
Yanling;Янлин;Yanling;얀링;燕灵;燕靈;Yanling;Yanling;Yanling;Yanling;ヤンリン
Avatar;Аватара;Avatar;아바타;圣者;聖者;Avatar;Avatar;Avatar;Avatar;アバター
Bestie;Зверь;Besta;야수;野兽;野獸;Beast;Bestia;Bête;Bestia;ビースト
Qualle;Медуза;Água-viva;해파리;水母;水母;Jellyfish;UNKNOWN;Méduse;Medusa;クラゲ
Kiora;Киора;Kiora;키오라;奇奥拉;奇奧拉;Kiora;Kiora;Kiora;Kiora;キオーラ
Maus;Мышь;Camundongo;생쥐;家鼠;家鼠;Mouse;Topo;Souris;Ratón;ハツカネズミ
Vielfraß;Росомаха;Carcaju;울버린;狼獾;狼獾;Wolverine;Ghiottone;Glouton;Glotón;クズリ
Wrenn;Ренн;Wrenn;렌;芮恩;芮恩;Wrenn;Wrenn;Wrenn;Wrenn;レン
Minotaurus;Минотавр;Minotauro;미노타우로스;牛头怪;牛頭怪;Minotaur;Minotauro;Minotaure;Minotauro;ミノタウルス
Spinne;Паук;Aranha;거미;蜘蛛;蜘蛛;Spider;Ragno;Araignée;Araña;蜘蛛
Hinweis;Улика;Pista;단서;线索;線索;Clue;Indizio;Indice;Pista;手掛かり
Pirat;Пират;UNKNOWN;해적;海盗;海盜;Pirate;Pirata;UNKNOWN;UNKNOWN;海賊
Wraith;Видение;Aparição;UNKNOWN;鬼魂;鬼魂;Wraith;Necrospettro;Apparition;Aparición;レイス
Eidechse;Ящер;Lagarto;도마뱀;蜥蜴;蜥蜴;Lizard;Lucertola;Lézard;Lagarto;トカゲ
Das neue Phyrexia;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;New Phyrexia;Nuova Phyrexia;Nouvelle Phyrexia;Nueva Phyrexia;新ファイレクシア
Gargoyle;Горгулья;Gárgula;가고일;石像鬼;石像鬼;Gargoyle;Gargoyle;Gargouille;Gárgola;ガーゴイル
Drohne;Дрон;Zangão;드론;奴兽;奴獸;Drone;Parassita;Drone;Zángano;ドローン
Räuber;Бродяга;Ladino;도적;浪客;UNKNOWN;Rogue;Farabutto;Gredin;Pícaro;ならず者
Schlammwesen;Тина;Lodo;점액괴물;流浆;流漿;Ooze;Melma;Limon;Cieno;ウーズ
Regatha;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Regatha;Regatha;Regatha;Regatha;レガーサ
Handwerker;Механик;Artesão;기능공;神器师;神器師;Artificer;Artefice;Artificier;Artífice;工匠
Nixilis;Никсилис;Nixilis;닉실리스;尼希兹;尼希茲;Nixilis;Nixilis;Nixilis;Nixilis;ニクシリス
Salamander;Саламандра;Salamandra;샐러맨더;火蜥蜴;火蜥蜴;Salamander;Salamandra;Salamandre;Salamandra;サラマンダー
Hund;Собака;Sabujo;사냥개;猎犬;獵犬;Dog;Canide;Chien;Perro;犬
Dryade;Дриада;Dríade;드라이어드;树灵;樹靈;Dryad;Driade;Dryade;Dríada;ドライアド
Feenwesen;Фея;Fada;페어리;仙灵;仙靈;Faerie;Spiritello;Peuple fée;Hada;フェアリー
Mensch;Человек;Humano;인간;人类;人類;Human;Umano;Humain;Humano;人間
Mongseng;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Mongseng;Mongseng;Mongseng;Mongseng;モンセン
Berserker;Берсерк;Amoque;광전사;狂战士;狂戰士;Berserker;Berserker;Berserker;Berserker;狂戦士
Rath;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Rath;Rath;Rajh;Rath;ラース
Dämon;Демон;Demônio;악마;恶魔;惡魔;Demon;Demone;Démon;Demonio;デーモン
Zentaur;Кентавр;Centauro;켄타우로스;半人马;半人馬;Centaur;Centauro;Centaure;Centauro;ケンタクルス
Äthergeborener;Эфирид;Etergênito;에테르붙이;乙太种;乙太種;Aetherborn;Eteride;Éthérien;Etergénito;霊基体
Ergamon;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Ergamon;Ergamon;Ergamon;Ergamon;エルガモン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Reflection;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Surrakar;Сурракар;Surrakar;UNKNOWN;苏拉卡;UNKNOWN;Surrakar;Surrakar;Surrakar;Surrakar;サラカー
Domri;Домри;Domri;돔리;多密;多密;Domri;Domri;Domri;Domri;ドムリ
Insel;Остров;Ilha;섬;海岛;海島;Island;Isola;Île;Isla;島
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Pentavite;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Buboh;Уф;Trasgo;아우프;奥夫;奧夫;Ouphe;Ouphe;Orphe;Oufé;アウフ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Graveborn;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Gideon;Гидеон;Gideon;기디온;基定;基定;Gideon;Gideon;Gideon;Gideon;ギデオン
Teyo;Тейо;Teyo;테요;泰佑;泰佑;Teyo;Teyo;Teyo;Teyo;テヨ
Wildschwein;Вепрь;Javali;멧돼지;野猪;野豬;Boar;Cinghiale;Sanglier;Jabalí;猪
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Mystic;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Wombat;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Kaninchen;Кролик;Coelho;토끼;UNKNOWN;兔;Rabbit;Coniglio;Lapin;Conejo;兎
Ir;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Ir;Ir;Ir;Ir;アー
Bürger;Гражданин;Cidadão;시민;UNKNOWN;市民;Citizen;Cittadino;Citoyen;Ciudadano;UNKNOWN
Moag;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Moag;Moag;Moag;Moag;モアグ
Elspeth;Элспет;Elspeth;엘스페스;艾紫培;艾紫培;Elspeth;Elspeth;Elspeth;Elspeth;エルズペス
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Lair;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Freihändler;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Monger;Commerciante;Négociant;Traficante;モンガー
Tamiyo;Тамиё;Tamiyo;타미요;多美代;多美代;Tamiyo;Tamiyo;Tamiyo;Tamiyo;タミヨウ
Nashorn;Носорог;Rinoceronte;코뿔소;犀牛;犀牛;Rhino;Rinoceronte;Rhinocéros;Rinoceronte;サイ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Alien;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Schuppentier;Панголин;Pangolim;천산갑;穿山甲;UNKNOWN;Pangolin;Pangolino;UNKNOWN;Pangolín;センザンコウ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Survivor;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Betrachter;Злобоглаз;Observador;비홀더;眼魔;眼魔;Beholder;Beholder;Tyrannœil;Contemplador;ビホルダー
Walross;Морж;Morsa;바다코끼리;海象;海象;Walrus;Tricheco;Morse;Morsa;セイウチ
Söldner;Наемник;Mercenário;UNKNOWN;佣兵;UNKNOWN;Mercenary;Mercenario;Mercenaire;UNKNOWN;傭兵
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Atog;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Davriel;Давриэль;Davriel;다브리엘;达夫黎;達夫黎;Davriel;Davriel;Davriel;Davriel;ダブリエル
Sphinx;Сфинкс;Esfinge;스핑크스;史芬斯;史芬斯;Sphinx;Sfinge;Sphinx;Esfinge;スフィンクス
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Ferret;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Daretti;Даретти;Daretti;UNKNOWN;达雷迪;達雷迪;Daretti;Daretti;Daretti;Daretti;ダレッティ
Kaldheim;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Kaldheim;Kaldheim;Kaldheim;Kaldheim;カルドハイム
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Rigger;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Kraftwerk;Электростанция;Usina;UNKNOWN;动力炉;UNKNOWN;Power-Plant;Centrale Energetica;Centrale énergétique;Central de energía;魔力炉
Flusspferd;Бегемот;Hipopótamo;하마;河马;河馬;Hippo;Ippopotamo;Hippopotame;Hipopótamo;カバ
Illusion;Иллюзия;Ilusão;환영;虚影;虛影;Illusion;Illusione;Illusion;Ilusión;イリュージョン
Jeska;UNKNOWN;Jeska;UNKNOWN;洁丝卡;潔絲卡;Jeska;Jeska;Jeska;Jeska;ジェスカ
Mungo;Мангуст;Mangusto;몽구스;猫鼬;貓鼬;Mongoose;Mangusta;Mangouste;Mangosta;マングース
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Tyranid;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Elminster;Эльминстер;Elminster;엘민스터;伊尔明斯特;伊爾明斯特;Elminster;Elminster;Elminster;Elminster;エルミンスター
Wurm;Вурм;Vorme;웜;亚龙;亞龍;Wurm;Wurm;Guivre;Sierpe;ワーム
Pilzwesen;Плесень;Fungo;진균;真菌;真菌;Fungus;Fungus;Fongus;Hongo;ファンガス
Shandalar;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Shandalar;Shandalar;Shandalar;Shandalar;シャンダラー
Angrath;Анграт;Angrath;앙그라스;安戈斯;安戈斯;Angrath;Angrath;Angrath;Angrath;アングラス
Seestern;Морская_звезда;Estrela-do-mar;불가사리;海星;海星;Starfish;UNKNOWN;Étoile de mer;Estrella-de-mar;ヒトデ
Aura;Аура;Aura;마법진;灵气;靈氣;Aura;Aura;Aura;Aura;オーラ
Feigling;Трус;Covarde;겁쟁이;UNKNOWN;懦夫;Coward;Vigliacco;Couard;Cobarde;臆病者
Nautilus;Наутилус;Náutilo;앵무조개;鹦鹉螺;鸚鵡螺;Nautilus;Nautilo;Nautile;Nautilo;オウムガイ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Army;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Narset;Нарсет;Narset;나르셋;娜尔施;娜爾施;Narset;Narset;Narset;Narset;ナーセット
Zombie;Зомби;Zumbi;좀비;灵俑;殭屍;Zombie;Zombie;Zombie;Zombie;ゾンビ
UNKNOWN;Самурай;UNKNOWN;사무라이;武士;UNKNOWN;Samurai;UNKNOWN;Samouraï;Samurái;侍
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Guest;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Mordenkainen;Морденкайнен;Mordenkainen;모덴카이넨;魔邓肯;魔鄧肯;Mordenkainen;Mordenkainen;Mordenkainen;Mordenkainen;モルデンカイネン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Nightstalker;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Estrid;UNKNOWN;Estrid;UNKNOWN;UNKNOWN;UNKNOWN;Estrid;Estrid;Estrid;Estrid;エストリッド
Mastikor;Мастикора;Mastícora;마스티코어;异狮;異獅;Masticore;Masticora;Masticore;Masticore;マスティコア
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Splinter;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Triskelavite;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Schrein;Святыня;Sacrário;성지;祭祠;祭祠;Shrine;Santuario;Reliquaire;Altar;祭殿
Archon;Архонт;Arconte;집정관;统领;統領;Archon;Arconte;Archonte;Arconte;執政官
Riese;Гигант;Gigante;거인;巨人;巨人;Giant;Gigante;Géant;Gigante;巨人
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Clown;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Mauer;Стена;Barreira;벽;墙;牆;Wall;Muro;Mur;Muro;壁
Bolas;Болас;Nicol;볼라스;波拉斯;波拉斯;Bolas;Bolas;Bolas;Bolas;ボーラス
UNKNOWN;Нага;UNKNOWN;나가;那伽;UNKNOWN;Naga;UNKNOWN;UNKNOWN;UNKNOWN;ナーガ
Phyrexianer;Фирексиец;Phyrexiano;피렉시아;非瑞人;UNKNOWN;Phyrexian;Phyrexiano;Phyrexian;Pirexiano;ファイレクシアン
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Custodes;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Hexenmeister;Колдун;Bruxo;흑마법사;术士;術士;Warlock;UNKNOWN;Psychagogue;Brujo;邪術師
Prätor;Претор;Pretor;총독;魔判官;UNKNOWN;Praetor;Pretore;UNKNOWN;Magistrado;法務官
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Kinshala;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Fraktalwesen;Фрактал;Fractal;UNKNOWN;分灵;分靈;Fractal;Frattale;Fractale;Fractal;フラクタル
Kalmar;Кальмар;Lula;오징어;乌贼;烏賊;Squid;Calamaro;Calamar;Calamar;イカ
Nymphe;Нимфа;Ninfa;님프;宁芙;寧芙;Nymph;Ninfa;Nymphe;Ninfa;ニンフ
Waschbär;Енот;Guaxinim;너구리;UNKNOWN;浣熊;Raccoon;Procione;Raton-laveur;Mapache;アライグマ
Ort;Место;Local;UNKNOWN;处所;處所;Locus;Luogo;Site;Sitio;神座
Sorin;Сорин;Sorin;소린;索霖;索霖;Sorin;Sorin;Sorin;Sorin;ソリン
Satyr;Сатир;Sátiro;사티로스;羊蹄人;羊蹄人;Satyr;Satiro;Satyre;Sátiro;サテュロス
Sivitri;UNKNOWN;Sivitri;UNKNOWN;希维缇;UNKNOWN;Sivitri;Sivitri;Sivitri;Sivitri;シヴィトリ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;C’tan;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Alara;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Alara;Alara;Alara;Alara;アラーラ
Rebell;Повстанец;Rebelde;UNKNOWN;反抗军;反抗軍;Rebel;Ribelle;Rebelle;UNKNOWN;レベル
Specter;Призрак;Espectro;스펙터;幽灵;幽靈;Specter;Spettro;Spectre;Espectro;スペクター
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;戴克;UNKNOWN;Dack;UNKNOWN;UNKNOWN;UNKNOWN;ダク
Ophis;Змея;Cobra;뱀;蛇;蛇;Snake;Serpente;Serpent;Víbora;蛇
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Saproling;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Belenon;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Belenon;Belenon;Belenon;Bélenon;ベレノン
Nahiri;Нахири;Nahiri;나히리;娜希丽;娜希麗;Nahiri;Nahiri;Nahiri;Nahiri;ナヒリ
UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;Aurochs;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
Ifrit;Ифрит;Efrite;이프리트;魔神;魔神;Efreet;Efreet;Éfrit;Efrit;イフリート
Oko;Око;Oko;오코;瓯柯;甌柯;Oko;Oko;Oko;Oko;オーコ
Wal;Кит;Baleia;고래;鲸鱼;鯨魚;Whale;Balena;Baleine;Ballena;鯨
Diener;Приспешник;Assecla;수하;奴仆;奴僕;Minion;Servitore;Mignon;Sicario;ミニオン
Gestaltwandler;Имитатор;Metamorfo;변신괴물;变形兽;變形獸;Shapeshifter;Polimorfo;Changeforme;Metamorfo;多相の戦士
Menschenaffe;Обезьяна;Símio;유인원;猿猴;猿猴;Ape;Scimpanzé;Grand singe;Simio;類人猿
Leviathan;Левиафан;Leviatã;리바이어던;海怪;海怪;Leviathan;Leviatano;Léviathan;Leviatán;リバイアサン
Antilope;Антилопа;Antílope;영양;羚羊;羚羊;Antelope;Antilope;Antilope;Antílope;アンテロープ
